author_id,author,num_lines,char_count,source_path
231,Gospel,17,958,data/raw/Gospel.txt
232,Graf,34,1516,data/raw/Graf.txt
233,Green,17,783,data/raw/Green.txt
234,Grubson,49,1788,data/raw/Grubson.txt
235,Gruby Mielzky,28,1140,data/raw/Gruby Mielzky.txt
236,Grzechu PPZ,21,865,data/raw/Grzechu PPZ.txt
237,Guova,17,714,data/raw/Guova.txt
238,Guzior,33,1623,data/raw/Guzior.txt
239,Głowa PMM,2,24,data/raw/Głowa PMM.txt
240,HDS,22,923,data/raw/HDS.txt
241,HMS,26,1012,data/raw/HMS.txt
242,Hades,25,893,data/raw/Hades.txt
243,Haju,23,913,data/raw/Haju.txt
244,Hanszua,17,751,data/raw/Hanszua.txt
245,Hase,26,1012,data/raw/Hase.txt
246,Hed,39,1674,data/raw/Hed.txt
247,Heniosław,22,1110,data/raw/Heniosław.txt
248,Hermes,17,669,data/raw/Hermes.txt
249,Herr Kuchen,30,1590,data/raw/Herr Kuchen.txt
250,Hodak,17,661,data/raw/Hodak.txt
251,Hrabia Tym$on,21,672,data/raw/Hrabia Tym$on.txt
252,IDontExistAnymore,24,853,data/raw/IDontExistAnymore.txt
253,IRA,33,1150,data/raw/IRA.txt
254,Igor Herbut,31,1562,data/raw/Igor Herbut.txt
255,Igor,28,1056,data/raw/Igor.txt
256,Igrekzet,26,1152,data/raw/Igrekzet.txt
257,Iksloł,18,608,data/raw/Iksloł.txt
258,Ines,17,855,data/raw/Ines.txt
259,Intruz,17,761,data/raw/Intruz.txt
260,J. Kossak,17,552,data/raw/J. Kossak.txt
261,JESTEMSZOPEN,19,698,data/raw/JESTEMSZOPEN.txt
262,JNR,24,919,data/raw/JNR.txt
263,JRX,17,724,data/raw/JRX.txt
264,JWP,24,959,data/raw/JWP.txt
265,Jaco,22,816,data/raw/Jaco.txt
266,Jacuś,28,1190,data/raw/Jacuś.txt
267,Jakub Józef Orliński,25,918,data/raw/Jakub Józef Orliński.txt
268,Jakub Żulczyk,26,1211,data/raw/Jakub Żulczyk.txt
269,Jan Rodo,26,885,data/raw/Jan Rodo.txt
270,Jan-Rapowanie,24,1218,data/raw/Jan-Rapowanie.txt
271,Janek Jaki,21,1082,data/raw/Janek Jaki.txt
272,Janusz Korwin-Mikke,30,1589,data/raw/Janusz Korwin-Mikke.txt
273,Janusz Tramwaj 3000,17,843,data/raw/Janusz Tramwaj 3000.txt
274,Janusz Walczuk,23,1049,data/raw/Janusz Walczuk.txt
275,Jarecki,2,24,data/raw/Jarecki.txt
276,Jarru,19,819,data/raw/Jarru.txt
277,Jeden,45,1882,data/raw/Jeden.txt
278,Jery,17,550,data/raw/Jery.txt
279,Jerzy Bralczyk,20,1143,data/raw/Jerzy Bralczyk.txt
280,Jerzyk Krzyżyk,17,550,data/raw/Jerzyk Krzyżyk.txt
281,Jeż,45,1882,data/raw/Jeż.txt
282,Jimson,18,609,data/raw/Jimson.txt
283,Jober,20,917,data/raw/Jober.txt
284,Joda,24,1083,data/raw/Joda.txt
285,Johnny Slim,37,1271,data/raw/Johnny Slim.txt
286,Joka,17,535,data/raw/Joka.txt
287,Joker,20,917,data/raw/Joker.txt
288,Jongmen,19,770,data/raw/Jongmen.txt
289,Josef Bratan,19,802,data/raw/Josef Bratan.txt
290,Juchas,26,885,data/raw/Juchas.txt
291,Julia Wieniawa,21,893,data/raw/Julia Wieniawa.txt
292,K2,19,900,data/raw/K2.txt
293,KOLA,17,874,data/raw/KOLA.txt
294,KOOZA,16,687,data/raw/KOOZA.txt
295,KPSN,21,761,data/raw/KPSN.txt
296,KRB,18,1109,data/raw/KRB.txt
297,KVBX,16,825,data/raw/KVBX.txt
298,KaCeZet,17,801,data/raw/KaCeZet.txt
299,KaHa,38,1464,data/raw/KaHa.txt
300,Kabe,2,24,data/raw/Kabe.txt
301,Kacper Blonsky,33,1489,data/raw/Kacper Blonsky.txt
302,Kacper HTA,26,1245,data/raw/Kacper HTA.txt
303,Kacper Pitala,50,2641,data/raw/Kacper Pitala.txt
304,Kacper S.,19,829,data/raw/Kacper S..txt
305,Kacperczyk,24,821,data/raw/Kacperczyk.txt
306,Kaczka,17,797,data/raw/Kaczka.txt
